date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:38:38	416/416	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202023%2015:38:37%20GMT	https://hazem.gg/robots.txt		(from )
08:38:38	7280/7280	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Sep%202023%2015:38:37%20GMT	https://hazem.gg/	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/index.html	(from )
08:38:38	9350/9350	---MCZ	200	added ('OK')	text/css	etag:W/%2255fbd4e06efd889eca52cc1de85066de%22	https://hazem.gg/build/_assets/tailwind-ANJA44M6.css	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/_assets/tailwind-ANJA44M6.css	(from https://hazem.gg/)
08:38:38	25475/25475	---M--	200	added ('OK')	image/png	etag:%22b20b472df9871699e1f46647a8bb10d3%22	https://hazem.gg/hzmico.png	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/hzmico.png	(from https://hazem.gg/)
08:38:39	1559/1559	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cd3aa9c806829c71da7c34c975a3a41%22	https://hazem.gg/build/manifest-1268EAFF.js	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/manifest-1268EAFF.js	(from https://hazem.gg/)
08:38:39	134736/134736	---MCZ	200	added ('OK')	application/javascript	etag:W/%22453ee814044568b8a018daf62c7f749a%22	https://hazem.gg/build/entry.client-FPZBS376.js	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/entry.client-FPZBS376.js	(from https://hazem.gg/)
08:38:39	94663/94663	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286eae568db419dd16e87d60d7a33c63c%22	https://hazem.gg/build/_shared/chunk-PRVLCFNY.js	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/_shared/chunk-PRVLCFNY.js	(from https://hazem.gg/)
08:38:39	586/586	---M--	200	added ('OK')	application/javascript	etag:%22bad4aa644d9619b7b12f31534dab2f25%22	https://hazem.gg/build/_shared/chunk-Q3IECNXJ.js	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/_shared/chunk-Q3IECNXJ.js	(from https://hazem.gg/)
08:38:40	719/719	---M--	200	added ('OK')	application/javascript	etag:%2251335ecd414e2444e337fdf57c4f1d1b%22	https://hazem.gg/build/root-KYBMJGP7.js	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/root-KYBMJGP7.js	(from https://hazem.gg/)
08:38:40	29224/29224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b4591643f3ba7b5b0b8d2f756787834e%22	https://hazem.gg/build/routes/_index-4H4VQJJE.js	C:/My%20Web%20Sites/https___hazem.gg_/hazem.gg/build/routes/_index-4H4VQJJE.js	(from https://hazem.gg/)
