date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:19:36	404/404	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Oct%202023%2012:19:35%20GMT	https://prxobanana2.wixsite.com/robots.txt		(from )
05:19:36	297399/297399	---MCZ	200	added ('OK')	text/html	etag:W/%22eabdbd76d08f41b38e0234d651063dbc%22	https://prxobanana2.wixsite.com/lightux/	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/index.html	(from )
05:19:36	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/eee/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:37	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/eee/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:37	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2017%20Sep%202023%2022:41:49%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/eee/polyfill.io/v3/polyfill.mind82c.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:38	2475/2475	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Oct%202023%2012:19:38%20GMT	https://static.wixstatic.com/media/122a2b_203d1fd5b65e41ea9c7eefee35d7068b~mv2.jpg/v1/fill/w_147,h_92,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/122a2b_203d1fd5b65e41ea9c7eefee35d7068b~mv2.jpg	C:/My%20Web%20Sites/eee/static.wixstatic.com/media/122a2b_203d1fd5b65e41ea9c7eefee35d7068b_mv2.jpg/v1/fill/w_147,h_92,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/122a2b_203d1fd5b65e41ea9c7eefee35d7068b_mv2.jpg	(from https://prxobanana2.wixsite.com/lightux/)
05:19:38	354854/354854	---MCZ	200	added ('OK')	text/html	etag:W/%22cd2474e1f6261266aeea30a9c0e1538b%22	https://prxobanana2.wixsite.com/lightux/pckeysystem	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/pckeysystem.html	(from https://prxobanana2.wixsite.com/lightux/)
05:19:39	355526/355526	---MCZ	200	added ('OK')	text/html	etag:W/%22902df2667e5f5c5cb585d3d89e5b3dd4%22	https://prxobanana2.wixsite.com/lightux/mobilekeysystem	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/mobilekeysystem.html	(from https://prxobanana2.wixsite.com/lightux/)
05:19:39	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/eee/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:39	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202023%2012:19:39%20GMT	https://prxobanana2.wixsite.com/lightux/robots.txt	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/robots.7.delayed	(from https://prxobanana2.wixsite.com/lightux/)
05:19:40	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202023%2012:19:40%20GMT	https://prxobanana2.wixsite.com/lightux/sitemap.xml	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/sitemap.8.delayed	(from https://prxobanana2.wixsite.com/lightux/)
05:19:41	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202023%2012:19:40%20GMT	https://prxobanana2.wixsite.com/lightux/feed.xml	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/feed.9.delayed	(from https://prxobanana2.wixsite.com/lightux/)
05:19:41	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202023%2012:19:41%20GMT	https://prxobanana2.wixsite.com/lightux/${n.uri}	C:/My%20Web%20Sites/eee/prxobanana2.wixsite.com/lightux/${n.a.delayed	(from https://prxobanana2.wixsite.com/lightux/)
05:19:42	100250/100250	---M-Z	200	added ('OK')	application/javascript	etag:W/%229cf81a921f381890006a4a0c0a328440%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.cc9fc648.bundle.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.cc9fc648.bundle.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:42	168494/168494	---M-Z	200	added ('OK')	application/javascript	etag:W/%226ff16292a2f8c989d7492de4f69fff35%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.9bd50d34.bundle.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/services/wix-thunderbolt/dist/main.9bd50d34.bundle.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:43	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:43	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://prxobanana2.wixsite.com/lightux/)
05:19:44	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/My%20Web%20Sites/eee/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://prxobanana2.wixsite.com/lightux/)
